INFO: text_id: D1115   uid: b5957f1a2e49403ca920ef98df6e843c
INFO: text_id: D1118   uid: a325b0f9c4a84b969669fc1ad77a3788
INFO: text_id: D1119   uid: b7a8300e39e545e3844185de5c4cfb48
INFO: text_id: D1120   uid: 84cee5c7461a48f3ab18f09c88b50c42
INFO: text_id: D1121   uid: 012561b6b9924f63a056dc2a69609f28
INFO: text_id: D1122   uid: 83000a5a2dcd44e2adec41fd0525a15a
INFO: text_id: D1123   uid: a883f75632fa4fc29933247ad0e40be4
INFO: text_id: D1124   uid: 543d881538554dfc92bf88ced2bc5346
INFO: text_id: D1125   uid: 7cbcc7481fe8418e83213e40853e1b98
INFO: text_id: D1127   uid: 45e2e59505334637ae38e2d99f9f370f
INFO: text_id: D1128   uid: b9d29d82b21c44cda763e442306d32ae
INFO: text_id: D1129   uid: 01ced681c73044e4a234bb4de1838062
INFO: text_id: D1130   uid: e13ab6a60e4540268ffa3c58cf46084e
INFO: text_id: D1131   uid: 1d75fae3d59e4b1abd6b127b2827a47a
INFO: text_id: D1132   uid: f928c523d61d4782a269b300a48cc463
INFO: text_id: D1133   uid: c6f1c8e4645743c994d1170600aebe62
INFO: text_id: D1134   uid: 8cbce04df7a74041814240d97c7e4fb7
INFO: text_id: D1135   uid: 221fb9d93c964324b88bcc8835ab2f7d
INFO: text_id: D1136   uid: 728d23499e544472bc863e5f4912c70a
INFO: text_id: D1137   uid: 38ddc7720ae8419ba18fdc44429d85dd
INFO: text_id: D1146   uid: aeb92194e15d402b91d46cc0ef6fe3a4
INFO: text_id: D1150   uid: dc49184dc2fa40b1a0fc066bef79c660
INFO: text_id: D1156   uid: 04372ec15d2640819bdc42baab0ee001
INFO: text_id: D1157   uid: 65eb0e81adc344fbbc00eaab77e78607
INFO: text_id: D1158   uid: 7386a41b463844ba98f620af317bbb55
INFO: text_id: D1162   uid: 61d7b12eed714872a1918ff4bfee7a58
INFO: text_id: D1163   uid: a5bdfecab0ef43218ca115fc70ef7c77
INFO: text_id: D1166   uid: 89f6a9e07d2d472ab863f7e346838eb3
INFO: text_id: D1191   uid: 75c9b45ce8cc48288f57ed404f64d8c4
INFO: text_id: D1206   uid: 9aab5c05106a49cc860138352f79fbe1
INFO: text_id: D1223   uid: e818ea8d3a274797a657e9a81eda044f
INFO: text_id: D1268   uid: fc56d91882944762afbc51847ce62385
INFO: text_id: D1285   uid: 6da30b4c35b043dc8ccf64350b834ac2
INFO: text_id: D1286   uid: e581fc7c817b40aa80f3cfdb89e5aba0
INFO: text_id: D1316   uid: 2b888ad40280454e8bf82f88e65f4a95
INFO: text_id: D1340   uid: 0426fc03555b4b38a1db7e645ee57a59
INFO: text_id: D1375   uid: 01f5129d7228452da4a3111583b37725
INFO: text_id: D1442   uid: 121959f822e046e39a5019c81235da9a
INFO: text_id: D1464   uid: 1a6d0fbf53274b6893d6a42be0fa31ac
INFO: text_id: D1490   uid: d497608969a24376b072fd8d67132315
INFO: text_id: D1491   uid: 92eb8a7eb13641609af03ec03d4cf3a0
INFO: text_id: D1492   uid: abfbb078837849a5b25235e01dd78b85
INFO: text_id: D1493   uid: 1a9a15eae37e46e582ff010490882146
INFO: text_id: D1494   uid: f7d839504dcb43e48040c0314da03eeb
INFO: text_id: D1495   uid: 7c1c66bcd91e478887f5500b05c46c75
INFO: text_id: D1496   uid: 407f4227bbf04eb484e585a187f9b31b
INFO: text_id: D1497   uid: 9881d4b0cfc244d98bf3fbbed6c5207f
INFO: text_id: D1557   uid: 6faaffe6c4214530b0828f8d1ba2b20b
INFO: text_id: D1587   uid: 354a3b6ee70642888902f2c45fd0c1f9
INFO: text_id: D1591   uid: 0d7f8486ea844a16bcd15e983b0d199a
INFO: text_id: D1592   uid: 11a8e15d6a384759b012ae7e132de586
INFO: text_id: D1593   uid: f0c25c18e2564122a04ccf0a265c9f8d
INFO: text_id: D1594   uid: fd6eb57ea5374e1289e0a04929a01529
INFO: text_id: D1609   uid: a8e04b6d15ec45998485ec1bd1fcb5ef
INFO: text_id: D1610   uid: f21a5424a86e4f6993ab9ba78c20d857
INFO: text_id: D1612   uid: 835a3053dd9f43d6847fff01329b0eab
INFO: text_id: D1613   uid: 139d27041a9b496cb12c791fadb3db02
INFO: text_id: D1614   uid: 32b17c519c6a4aa093723c968af082ff
INFO: text_id: D1615   uid: 23517d6c47e14164bf2569b1cb863082
INFO: text_id: D1640   uid: cb5e58cd87784881950ba0a055daf5ff
INFO: text_id: D1683   uid: 1a6daaf8bc66474fbefd2306ba8b1cd2
INFO: text_id: D1684   uid: 579b2eb00b6648438d21d68bc4d6ef5b
INFO: text_id: D1693   uid: bf9556b19d2746aeb2a4544ffaea19b0
INFO: text_id: D1695   uid: b542d6af4c4d4f5eb197a34fcb6c4d3e
INFO: text_id: D1696   uid: 787286140e8d4a8a948940b50e07b33a
INFO: text_id: D1724   uid: d78864467b154b968be53ba2d8ea9c16
INFO: text_id: D1752   uid: db987e982bbe44d79c6fdd03b7173331
INFO: text_id: D1758   uid: 4746ab8676e544499b109d8e11346c02
INFO: text_id: D1759   uid: a54a3fc3e82a40d2ab7cc367da8f0ea9
INFO: text_id: D1765   uid: 66bb9f44235d4fd5879746f07a30ad9e
INFO: text_id: D1771   uid: 3f229de967b64a06ad26c829ad16789d
INFO: text_id: D1772   uid: 53987632de9e464daad90480166c28bc
INFO: text_id: D1773   uid: 97e69e9f9bf6457db2a01b0c424e6e4d
INFO: text_id: D1779   uid: d16f85daabae4c2db68db0dd67a42435
INFO: text_id: D1780   uid: ca2bad0523f144c7b888f1258e56c800
INFO: text_id: D1784   uid: b1500d61a80541c2a5c8a959f4972a47
INFO: text_id: D1785   uid: 7e028351d91048a898e63c90b31f151a
INFO: text_id: D1786   uid: 4dc8970b9f59426dbfe319f9e7a0475f
INFO: text_id: D1792   uid: 20f37aa58f0b4a13a605ed127ef405c4
INFO: text_id: D1793   uid: 8a942b1b2747455b82fc07d557317c10
INFO: text_id: D1796   uid: f97ca6c2752c46adbc7a2f8bd866dfa2
INFO: text_id: D1797   uid: d8beb5247e4b4bd5b14c90edebf0cb50
INFO: text_id: D1798   uid: 8b0683002d11472b826dc9bb8130ee99
INFO: text_id: D1799   uid: 5a4fb03b97954bd288bc1cd0b1f5ca80
INFO: text_id: D1800   uid: 368a5d42af434469af21757c72bd505b
INFO: text_id: D1801   uid: fac2957841ac4de1a54522e8f554210c
INFO: text_id: D1803   uid: 4c436336a01d49caa37ded6efcb62f9b
