INFO: text_id: D1115   uid: 59461947cbed456c800c24977283202c
INFO: text_id: D1118   uid: 36da7f29a5864c43b61c16d3a656eff1
INFO: text_id: D1119   uid: 487970dc51f54a979cc36e40e90f330d
INFO: text_id: D1120   uid: c6e7799b57054519ad8c600e8991f11c
INFO: text_id: D1121   uid: b28bee8e1689495db955b517a14bc749
INFO: text_id: D1122   uid: c595d6528b2e40c28811f16015ab2b1f
INFO: text_id: D1123   uid: f1d777f3249746b9a6c41a8eb52f7f3b
INFO: text_id: D1124   uid: 8376e5a5502b4a2eac3d72d47edbecd1
INFO: text_id: D1125   uid: 0cc9145662db49948b7d005c0d0d97ab
INFO: text_id: D1127   uid: c79ac2d385aa4653b0828e21e8417176
INFO: text_id: D1128   uid: d3444bd05a3b4054afb58708713d544b
INFO: text_id: D1129   uid: 02bc3c3c55c34a3ab51095049ac29cff
INFO: text_id: D1130   uid: 4ea750e9065d4e0eb21e82d73db8094f
INFO: text_id: D1131   uid: a315c9fdff4a44ccb1e8c65528f77c98
INFO: text_id: D1132   uid: d386e90a47674a7bbb0924fb7338b787
INFO: text_id: D1133   uid: 3a21d24398794ad382d87f51ce951f47
INFO: text_id: D1134   uid: e80cecf9a7fc4e6fa09fefa0694dc6f7
INFO: text_id: D1135   uid: 043647103b5448b28dd950820a358a2c
INFO: text_id: D1136   uid: 0ee7c445cb00420a81a215ac26f6d446
INFO: text_id: D1137   uid: b291ce4492e54b46b889e998057661ca
INFO: text_id: D1146   uid: 8995e985b3b64efda57d254a7fba9341
INFO: text_id: D1150   uid: 2815257f3af740e28bedc5e01626ff05
INFO: text_id: D1156   uid: 14ec1e88eb0440ac8d00e5a02d36a294
INFO: text_id: D1157   uid: c66d85fe3f214c1bb2b06b0be6e3062e
INFO: text_id: D1158   uid: 4b0e2e40cbac4692840089965694a5ee
INFO: text_id: D1162   uid: ef345eecbefe4503aa9ddf0d02651969
INFO: text_id: D1163   uid: 5c78f6fa207d4477827dcad43cb54810
INFO: text_id: D1166   uid: c1f56bd6f0354024aa92ff12b9abe6a0
INFO: text_id: D1191   uid: 81ade20dd64142ff9911ec4e045376f1
INFO: text_id: D1206   uid: dac0d862ae7f4baa99c60ee55e54908d
INFO: text_id: D1223   uid: 3adf0579c4c8455da9aca1af85b83b04
INFO: text_id: D1268   uid: 53cc597756c84e06973b753bd54f56f8
INFO: text_id: D1285   uid: abfd2d9ea0c14b6688bae4f36153ffab
INFO: text_id: D1286   uid: 5a04a42b41624b43b97ca439c51f9594
INFO: text_id: D1316   uid: 4c5b39b5222f44c794def6ba1e0813d5
INFO: text_id: D1340   uid: d550ec27814c4e1cb42c40a560ac43ab
INFO: text_id: D1375   uid: e98594ea3e3a4795af539f5d40be9d35
INFO: text_id: D1442   uid: 9e3215603cec4aa68bdddba5cae494f0
INFO: text_id: D1464   uid: c153e17ebab74df694dc5dc917e326eb
INFO: text_id: D1490   uid: 6eb503efd05b45bca87de09f773e947b
INFO: text_id: D1491   uid: 1834d1c163a04179b3ac8a55398f6b6f
INFO: text_id: D1492   uid: 0d32260337b14bf28aee700dd704a376
INFO: text_id: D1493   uid: cacddc0158f24181ad33088ac6bd1db9
INFO: text_id: D1494   uid: d8c606ea0d3d4e799fa0c5f8d6841704
INFO: text_id: D1495   uid: 5f797396e3d94e35a16cd505f00b781d
INFO: text_id: D1496   uid: 964def27824c41b69b3a085bd2dff29b
INFO: text_id: D1497   uid: 241a532cdb4643a8ab16b6f65ebeef9b
INFO: text_id: D1557   uid: 0996a936c27f498fa31e69943d79e0c2
INFO: text_id: D1587   uid: 47fabf40fd5343eca45b86547e5e2c38
INFO: text_id: D1591   uid: 98bcdcd0465140189323557f0b570815
INFO: text_id: D1592   uid: 5ecd21d202af404bb1f8220bd6031827
INFO: text_id: D1593   uid: cc3edd9ea8a148cfa5cddec8aac9a687
INFO: text_id: D1594   uid: 45bd74c843fa4a3bac465245233926d9
INFO: text_id: D1609   uid: d3cd7bb95b124af7ab342e15c207f9b5
INFO: text_id: D1610   uid: a1ebff30be50440b83e3e4061baa66e0
INFO: text_id: D1612   uid: 5717881587174533a6af3d3172049ee8
INFO: text_id: D1613   uid: 87ff852a6da4400eb3d0e91a0478821f
INFO: text_id: D1614   uid: 3add3d0198d845d6805c98b6885b780b
INFO: text_id: D1615   uid: b6232127ea644913ab4303cdf6e1df99
INFO: text_id: D1640   uid: 252ef26a7f33481baddb7385dc6d6333
INFO: text_id: D1683   uid: 37d78ebf193b4b90a11acb44fe1612cc
INFO: text_id: D1684   uid: 35f9ef005320447f887d05dfdcea9d51
INFO: text_id: D1693   uid: 548e4baddf4042d983111dc748a6d20d
INFO: text_id: D1695   uid: 0b9d4f720c7b43b0940d1698f328a9f5
INFO: text_id: D1696   uid: dfff93c7263143fbb5db64b78b58d61f
INFO: text_id: D1724   uid: c859d09cf1df42239fa3370f08bc88f7
INFO: text_id: D1752   uid: 0d027819b71444a8b38ddac686dc054e
INFO: text_id: D1758   uid: 3da114abbc344f86b19950b6bf6b545a
INFO: text_id: D1759   uid: 5b8eb3f1c73a47668f80fc4ba5ec44cb
INFO: text_id: D1765   uid: 10e9d1c2acb54425ab5b68cc4c716daa
INFO: text_id: D1771   uid: 16e34dd208424ac3937b2a9e04c70ca7
INFO: text_id: D1772   uid: d3e6bd51b5a546deb658d5c43d10ae9e
INFO: text_id: D1773   uid: 9551c0d4a7f74c91a2f413bf12199099
INFO: text_id: D1779   uid: be63ccb227b44b718940a4f2f98cdaed
INFO: text_id: D1780   uid: b4c4e391d14c4709add675b42cc62f46
INFO: text_id: D1784   uid: 39a2dc66d5d7447b825354d463ca1b75
INFO: text_id: D1785   uid: c9aaf5bc399b4eaf97235cffdf4f63a0
INFO: text_id: D1786   uid: 385a0ae109574f06ae56cf814f04d2a3
INFO: text_id: D1792   uid: 107df32285bc4bc498c0b79061343d41
INFO: text_id: D1793   uid: 86d4e9252a1848998404470c70ada170
INFO: text_id: D1796   uid: 5522759603af43398c6b384078684db7
INFO: text_id: D1797   uid: 94faed18e6b7489a9c28c6455748641e
INFO: text_id: D1798   uid: b018c44778df4f3cb586c0f78161e4a3
INFO: text_id: D1799   uid: af9a0206968b49a880d98afb567f9496
INFO: text_id: D1800   uid: 65b4a29e8f8e4199862f8fd310bfbf05
INFO: text_id: D1801   uid: 7a592c5fd3a74508ba9c7d715edef791
INFO: text_id: D1803   uid: 8aac45fe17614d339eb5d6c105226e7e
INFO: text_id: D1804   uid: 55926288a53d479c92bb0cb06f778225
INFO: text_id: D1805   uid: d8eb0f26af6f43719b303582c48d1190
INFO: text_id: D1806   uid: 229caf9f79b544d39c2f1d11eacebfe4
INFO: text_id: D1807   uid: 0be1e76db2c8455ba8ff964798aa19d7
INFO: text_id: D1808   uid: fa7f5f2879ad4e2489789c78a003f2f6
INFO: text_id: D1809   uid: 024d653474934e60ac33bcd0b286fba4
INFO: text_id: D1811   uid: 973cdfd7834c46fe9d88839057f888c9
INFO: text_id: D1812   uid: 645d343d39304dfab24b3396d1bfe861
INFO: text_id: D1814   uid: f002ac3cda0d4f4797eba8f29708a0d1
INFO: text_id: D1817   uid: ac6a00d671b54df4abc45c949e091493
INFO: text_id: D1838   uid: 023aa141fecf4439ac275cba02cc3460
INFO: text_id: D1865   uid: 995e2592b6b046dfbf3edbbf40d0a290
INFO: text_id: D1892   uid: d8e38ec843b546fb96a576474baa0246
INFO: text_id: D1893   uid: ece59c48a226444799b06f3a3070d363
INFO: text_id: D1894   uid: 9979fd6624ec4f218274f9036a74bdfa
INFO: text_id: D1928   uid: 5b4a02d030b04fc6919fa4a4b4076686
INFO: text_id: D1937   uid: 4ff03a5ffde64fee8a2e152eee507ccf
INFO: text_id: D1938   uid: 1667629c940847fa93ccb0acd2540600
INFO: text_id: D1939   uid: 7decd38331c64476bd4c22871fdbe165
INFO: text_id: D1940   uid: 47617dd1f9fe4a0b81ece8cf3efd7032
INFO: text_id: D1941   uid: 2b7c7e31106a4bc6841b4b8ae279abce
INFO: text_id: D1943   uid: b68f754353da453397f3de132eb488b6
INFO: text_id: D1944   uid: a060a382bd2a452ca1faafb51f6f4567
INFO: text_id: D1948   uid: 87f105b019e646c79620c286a6a0a619
INFO: text_id: D1949   uid: 95776d3bf3c34e05ae80e26e2b71c5ee
INFO: text_id: D1950   uid: 1533b6794d6a43f994d7743be557d1ca
INFO: text_id: D1951   uid: 64a6df8480a742bc8ad42016aa23f3ac
INFO: text_id: D2190   uid: e5a1070617544134b1d23900b448bd16
INFO: text_id: D2191   uid: 7ddba122aacc41a5b5811d30ca726fe2
INFO: text_id: D2204   uid: db77a88ba1eb471484b1989c879406e4
INFO: text_id: D2205   uid: b9d5d096dcb244a6836c5a11562222be
INFO: text_id: D2206   uid: da55f7346eef4118b47850c1bc653ab0
INFO: text_id: D2207   uid: 2a9ecac4a4ef46899d9c1e2ef0475b0e
INFO: text_id: D2213   uid: 70fe8596755f4f35897ed7bc1a473e48
INFO: text_id: D2225   uid: 86c2b6614c654814931f04ce54679dd0
INFO: text_id: D2248   uid: 670aa56f33184abb951042a14e05838d
INFO: text_id: D2277   uid: 4f3addb2d9ee4c73ba24a62b263a8556
INFO: text_id: D2279   uid: 5e6c06ae6fed40bb90422e43bb0f6f02
INFO: text_id: D2313   uid: f389b8be5afd454c9f843c27b323699c
INFO: text_id: D2314   uid: f671496fd9ec4237832b8975b5cae60c
INFO: text_id: D2315   uid: 23b8fa065c1b4fe7803f91be7c5ac6ac
INFO: text_id: D2316   uid: 2a1430e6c58c43938946b98f963d0257
INFO: text_id: D2317   uid: f98e0e4240534653ab7950a1d8385f8b
INFO: text_id: D2318   uid: 15b48aa897f4431c9c7d40c3fbdbfeae
INFO: text_id: D2319   uid: b82a42ea75ac4c78a0bbdce5fdc5f104
INFO: text_id: D2320   uid: bc78c3346cbb4dde8fd3ac8de59b7bb0
INFO: text_id: D2321   uid: 7d387450945347178c2d0e28e092a0b4
INFO: text_id: D2322   uid: 14b099b4a2834c6686e75339a3538ef2
INFO: text_id: D2323   uid: fd851b789cfd460cacad2be99fac469e
INFO: text_id: D2324   uid: 085e42f31fe4439da5a2b082dedb730d
INFO: text_id: D2325   uid: 3a81ca19a0994f15abc7bd422221456a
INFO: text_id: D2326   uid: 72b326bc0c3d49019567032a1b686c56
INFO: text_id: D2327   uid: 0ef0316f1eea4c63a1d6330b406d7cd3
INFO: text_id: D2328   uid: 04b517146204408eb9c53d14fa4fb9e2
INFO: text_id: D2341   uid: 7c14633f791e41258880052b55eb0b04
INFO: text_id: D2373   uid: ccc1a0dfea5d414dbb788dda8323b029
INFO: text_id: D2382   uid: ccb33b1d5cf54a819d4b6a0a108b1111
INFO: text_id: D2444   uid: caecae38eea74db7ab0d281d383e67fe
INFO: text_id: D2457   uid: 52e1d5263cf348e5814b51d99b02f9b3
INFO: text_id: D2461   uid: 756546e519444600ac023930e8ac6c64
INFO: text_id: D2473   uid: c439e3a2c8b34f499bcee1eb830a9360
INFO: text_id: D2481   uid: 269e333deccd43149e5609bec0d59651
INFO: text_id: D2482   uid: 4833c98b542c488da1d8ed5bd642423e
INFO: text_id: D2487   uid: 008126ffb8344b8aa3ca96c574e633ed
INFO: text_id: D2496   uid: 223626c0f9064a6bae5ef1b2d4a96b98
INFO: text_id: D2508   uid: 44665bbe8d594204bab285f8b91611a4
INFO: text_id: D2591   uid: 115a4da88e424d5f9c4d423beecb8ad1
INFO: text_id: D2637   uid: 3b27d51e56e541dd837e09fbd9e56dfe
INFO: text_id: D2640   uid: cc1f00e3da6c44edab14aebb2c1e41d3
INFO: text_id: D2653   uid: 0ee1a75a64ff41c58f21cfdfc2aa1754
INFO: text_id: D2654   uid: d89b293fa13d4b41a181409fe1dbc38c
INFO: text_id: D2655   uid: 26e86ff7721b46e89d17576ba099e39b
INFO: text_id: D2659   uid: 650a1df1626c4eb4ac4385031f914e7e
INFO: text_id: D2675   uid: 9b2387c4dbcc429fa8fa260602826177
INFO: text_id: D2678   uid: 776d6023135245b28bfd00f8bee6d2e2
INFO: text_id: D2694   uid: a07b81b92b2f46789c264f592d02a8d6
INFO: text_id: D2701   uid: c2c7aa16d3d34b42959a6c7f675cb658
INFO: text_id: D2702   uid: c09293eed2df45faa8801589cfaf7fff
INFO: text_id: D2712   uid: 849bddc7eaa547f2b1f3de3edb8accaf
INFO: text_id: D2732   uid: 0ceeb7512ade4e92aa3bcf046187bad9
INFO: text_id: D2736   uid: 15497770e1ed49caabfa74846b7bd0e2
INFO: text_id: D2736a   uid: a3c594b806e04463aaa788dc58e0edcf
INFO: text_id: D2850   uid: e7605dc126664c7b903aa1746ef80b0a
INFO: text_id: D2866   uid: aa5c60249c0b4b14a0c7ef1eb7dfd8d8
INFO: text_id: D2867   uid: fcc9086c5b9145ab88bc9a584564da90
INFO: text_id: D2868   uid: 666579284ed54da8a7a0ff8e1899bc49
INFO: text_id: D2869   uid: 54b811b0eb384213908190d3ffaf1470
INFO: text_id: D2888   uid: 764a010963dc41b8a3b9bc745983186c
